197,1,1,198,1,1,1,198,1,1,198,1,198,1,1,1,198,1,198,1,1,198,198,1,1,1,1,198,1,199,,,,
197,,,,,201,,,,,202,,,,203,,,,,,,204,,,,,,,,199,,,,
197,,,,,201,,,,,202,,,,203,,,,,,,204,,,,,,,,199,,,,
197,2,,196,,101,,196,,,102,,196,,103,,401,82,,,402,104,501,,121,,502,221,206,199,,106,,
197,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,199,,,,
1,,,,207,,,,,,,,,,,,,,205,,,198,198,198,198,,,,,199,,,,
1,,196,,107,,196,,196,504,,514,225,224,,,,223,205,403,,,,,,503,222,,4,199,,,,
197,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,199,,,,
197,,1,,,18,18,,1,,16,,,,1,113,213,,,,1,16,,,214,,,215,,199,114,115,,
197,,1,,1,1,197,,1,,,1,197,,1,112,212,1,,,1,,1,1,1,1,1,1,,199,,,,
197,,1,,,1,,,1,,,1,,,1,111,211,1,81,,1,,1,,217,,,,,199,,,,
197,,1,,,1,,199,1,,507,1,,199,1,,,1,,,1,,1,,23,23,23,23,216,199,,116,117,
197,,1,1,,1,,,1,,,1,,,1,,1,1,,80,1,,1,510,,,511,,1,199,,,,
197,,1,,506,1,197,,1,,,1,197,15,1,508,,1,,,1,,1,1,24,24,24,24,,199,,,,
197,,1,,1,1,,,1,,,1,,208,1,1,,1,81,509,1,15,1,,220,219,,513,,199,,,,
197,4,,,81,1,,82,,,15,1,,,,209,210,1,,,,4,1,7,23,23,23,23,218,199,,,118,120
197,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,,,
,,,,406,,,,,404,407,414,125,124,,408,,123,105,,,,,,,,122,,,,,,,
,,,,,,,,,,,,,108,,109,110,,,409,,,,,410,119,,411,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,413,,,,,,
